イベント「LIVE Parade」3rd  イベント楽曲 : Sweet Whiches' Night / Sweetches
2017/01/31(火) 15:00 ～ 2017/02/07(火) 20:59  (174h)

   日時    │  5001  10001  50001
―――――――――――――――――
02/01 00:00｜899739 866501 692171
02/02 00:00｜910952 880731 712916
02/03 00:00｜916119 886333 722083
02/04 00:00｜924950 897215 755726
02/05 00:00｜928534 899617 760656
02/06 00:00｜932582 902332 765813
02/07 00:00｜937243 905036 770798
02/07 12:00｜------ ------ ------
02/07 15:00｜------ ------ ------
02/07 18:00｜942820 908850 782609
02/07 19:00｜943450 909282 783594
02/07 20:00｜944311 910010 785292
02/07 20:15｜944651 910137 785836
02/07 20:30｜945011 910380 786435
02/07 20:45｜945500 910692 787052
02/08 12:00｜945952 910923 787700
